state,code,iso-code,
Australian Capital Territory,ACT,AU-ACT,
New South Wales,NSW,AU-NSW,
Northern Territory,NT,AU-NT,
Queensland,QLD,AU-QLD,
South Australia,SA,AU-SA,
Tasmania,TAS,AU-TAS,
Victoria,VIC,AU-VIC,
Western Australia,WA,AU-WA,
