state,code,iso-code,
Alberta,AB,CA-AB,
British Columbia,BC,CA-BC,
Manitoba,MB,CA-MB,
New Brunswick,NB,CA-NB,
Newfoundland and Labrador,NL,CA-NL,
Nova Scotia,NS,CA-NS,
Northwest Territories,NT,CA-NT,
Nunavut,NU,CA-NU,
Ontario,ON,CA-ON,
Prince Edward Island,PE,CA-PE,
Quebec,QC,CA-QC,
Saskatchewan,SK,CA-SK,
Yukon,YT,CA-YT,
