state,code,iso-code,
Piedmont,21,IT-21,
Aosta Valley,23,IT-23,
Lombardy,25,IT-25,
Trentino-South Tyrol,32,IT-32,
Veneto,34,IT-34,
Friuli-Venezia Giulia,36,IT-36,
Liguria,42,IT-42,
Emilia-Romagna,45,IT-45,
Tuscany,52,IT-52,
Umbria,55,IT-55,
Marche,57,IT-57,
Lazio,62,IT-62,
Abruzzo,65,IT-65,
Molise,67,IT-67,
Campania,72,IT-72,
Apulia,75,IT-75,
Basilicata,77,IT-77,
Calabria,78,IT-78,
Sicily,82,IT-82,
Sardinia,88,IT-88,
